,loss,binary_accuracy,val_loss,val_binary_accuracy
0,0.5794079303741455,0.6945000290870667,0.44536280632019043,0.8314999938011169
1,0.44055840373039246,0.8215000033378601,0.3709050714969635,0.8665000200271606
2,0.35426607728004456,0.8682000041007996,0.37250757217407227,0.8445000052452087
3,0.283031702041626,0.8949000239372253,0.2554854154586792,0.9070000052452087
4,0.23784250020980835,0.9075999855995178,0.19357708096504211,0.9304999709129333
5,0.195765882730484,0.925599992275238,0.1943649798631668,0.9225000143051147
6,0.1609351634979248,0.9372000098228455,0.1505528837442398,0.9409999847412109
7,0.15050733089447021,0.9401999711990356,0.13649345934391022,0.9480000138282776
8,0.14089438319206238,0.9463000297546387,0.21390660107135773,0.9160000085830688
9,0.12683121860027313,0.9498000144958496,0.12673237919807434,0.9480000138282776
10,0.11979088187217712,0.9544000029563904,0.23910613358020782,0.9035000205039978
11,0.1163499653339386,0.9538999795913696,0.1454666554927826,0.9470000267028809
12,0.10785903036594391,0.9584000110626221,0.1216224804520607,0.953499972820282
13,0.09888774156570435,0.9627000093460083,0.15540336072444916,0.9449999928474426
14,0.10481350123882294,0.9581000208854675,0.1784163862466812,0.9334999918937683
15,0.09806353598833084,0.963100016117096,0.11070405691862106,0.9580000042915344
16,0.084808349609375,0.9700000286102295,0.10624445229768753,0.9574999809265137
17,0.08941072970628738,0.9656000137329102,0.10896353423595428,0.9599999785423279
18,0.07981251180171967,0.9692999720573425,0.11504838615655899,0.9570000171661377
19,0.07359299808740616,0.9718000292778015,0.10028638690710068,0.9620000123977661
20,0.06853388994932175,0.973800003528595,0.09194784611463547,0.9664999842643738
21,0.0725025162100792,0.9714000225067139,0.09164586663246155,0.9660000205039978
22,0.06932628154754639,0.9731000065803528,0.09246606379747391,0.9695000052452087
23,0.0671820119023323,0.975600004196167,0.08634226024150848,0.9700000286102295
24,0.06390520185232162,0.9757000207901001,0.09634123742580414,0.9639999866485596
25,0.06752156466245651,0.9757999777793884,0.08949846774339676,0.9700000286102295
26,0.05551428720355034,0.9803000092506409,0.08515935391187668,0.9670000076293945
27,0.05897742137312889,0.9779000282287598,0.09875831753015518,0.9599999785423279
28,0.05261967331171036,0.980400025844574,0.07874201238155365,0.968500018119812
29,0.05165138468146324,0.980400025844574,0.09558792412281036,0.9645000100135803
30,0.04913562536239624,0.982699990272522,0.09578373283147812,0.9614999890327454
31,0.04721331596374512,0.9824000000953674,0.09730351716279984,0.9635000228881836
32,0.046530384570360184,0.9824000000953674,0.0885649099946022,0.9635000228881836
